address,type,name
44b1db,function,IsHelpKey
44b51a,function,DispatchCmdMsg
44bfde,function,_AfxModifyStyle
44c069,function,_AfxHandleInitDialog1
44c090,function,_AfxHandleInitDialog2
44c121,function,_AfxHandleActivate
44c1d9,function,_AfxHandleSetCursor
44c3ac,function,afxMapHWND
44cdb5,function,FindPopupMenuFromID
44e5bd,function,afxMapHMENU
450774,function,afxMapHDC
45128b,function,afxMapHGDIOBJ
4526af,function,ReadStringLength
4540b4,function,AppendFilterSuffix
4572c5,function,AdjustRectangle
45cd12,function,_AfxLoadDotBitmap
