// Scalar dtor matching. See isledecomp/reccmp #287.
address,type,name
0x45e33d,synthetic,CView::`scalar deleting destructor'
0x45ec3f,synthetic,CMiniFrameWnd::`scalar deleting destructor'
0x45e1b9,synthetic,CStatusBar::`scalar deleting destructor'
0x45c8ef,synthetic,CDialog::`scalar deleting destructor'
0x45e649,synthetic,CCommonDialog::`scalar deleting destructor'
0x45cbb4,synthetic,CWinApp::`scalar deleting destructor'
0x45d8c4,synthetic,CClientDC::`scalar deleting destructor'
0x4570ea,synthetic,AFX_TOOLTIP::`scalar deleting destructor'
0x45e92a,synthetic,CDocTemplate::`scalar deleting destructor'
0x45ccf4,synthetic,CWinThread::`scalar deleting destructor'
0x45e2c1,synthetic,CFile::`scalar deleting destructor'
0x45ce08,synthetic,CCmdTarget::`scalar deleting destructor'
0x40dd20,synthetic,CMenu::`scalar deleting destructor'
0x45dc1d,synthetic,CFileException::`scalar deleting destructor'
0x45e288,synthetic,CMapStringToOb::`scalar deleting destructor'
0x45e30a,synthetic,CObArray::`scalar deleting destructor'
0x45b188,synthetic,CRgn::`scalar deleting destructor'
